FID,ROW,COL,LAT,LON,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias,Dias_2014
1.0,13.0,31.0,4.468597,-74.125923,1374.0,41687.0,42021.0,1954.26,240.0,228.0
2.0,16.0,32.0,4.495499,-74.116936,1566.0,41561.0,42335.0,6268.0,555.0,261.0
3.0,16.0,32.0,4.495499,-74.116936,1566.0,41561.0,42335.0,6268.0,555.0,261.0
4.0,16.0,31.0,4.495499,-74.125923,1567.0,40603.0,41698.0,16596.95,784.0,43.0
5.0,18.0,35.0,4.513443,-74.089951,1665.0,41680.0,41797.0,1630.0,85.0,85.0
6.0,18.0,34.0,4.513443,-74.098946,1666.0,41030.0,42369.0,6970.13,958.0,261.0
7.0,18.0,33.0,4.513443,-74.107941,1667.0,41030.0,42369.0,2826.92,958.0,261.0
8.0,20.0,30.0,4.531372,-74.134918,1795.0,41381.0,41745.0,9124.72,261.0,76.0
9.0,21.0,32.0,4.540337,-74.116936,555.0,41219.0,41698.0,3811.94,344.0,43.0
10.0,21.0,28.0,4.540337,-74.152908,1799.0,41323.0,41883.0,3596.56,401.0,174.0
11.0,21.0,33.0,4.540337,-74.107941,1783.0,41579.0,42039.0,9995.31,329.0,261.0
12.0,22.0,33.0,4.549301,-74.107941,1781.0,40536.0,42728.0,8824.0,1566.0,261.0
13.0,23.0,32.0,4.558266,-74.116936,534.0,41546.0,41699.0,30000.0,110.0,43.0
14.0,23.0,31.0,4.558266,-74.125923,1916.0,41647.0,42124.0,1659.0,342.0,256.0
15.0,23.0,36.0,4.558266,-74.080956,536.0,41689.0,41774.0,1190.0,62.0,62.0
16.0,23.0,31.0,4.558266,-74.125923,1916.0,41499.0,41741.0,6744.0,174.0,73.0
17.0,24.0,26.0,4.567238,-74.170898,1905.0,41537.0,41902.0,19902.0,261.0,188.0
18.0,24.0,27.0,4.567238,-74.161903,1909.0,41642.0,42007.0,1225.0,261.0,259.0
19.0,24.0,31.0,4.567238,-74.125923,1915.0,41491.0,41949.0,8338.0,329.0,222.0
20.0,24.0,35.0,4.567238,-74.089951,1917.0,41246.0,41747.0,2718.0,360.0,78.0
21.0,24.0,32.0,4.567238,-74.116936,1914.0,41674.0,41946.0,350.0,195.0,195.0
22.0,25.0,31.0,4.576202,-74.125923,2013.0,41712.0,41803.0,130.0,66.0,66.0
23.0,25.0,34.0,4.576202,-74.098946,507.0,41647.0,42051.0,2153.0,289.0,256.0
