ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,41,4.692757,-74.03598,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002333927232,0.0002333927232,0.0002333927232,0.0002333927232,0.0002333927232,0.0,0.0002333927232,0.0002333927232,0.0002333927232,0.0002333927232,0.0002333927232,0.0002333927232,0.0,0.0,0.0,0.0,0.0,0.0
46,40,4.764458,-74.044975,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001855574784,0.0001855574784,0.0001855574784,0.0001855574784,0.0001855574784,0.0,0.0001855574784,0.0001855574784,0.0001855574784,0.0001855574784,0.0001855574784,0.0001855574784,0.0,0.0,0.0,0.0,0.0,0.0
46,41,4.764458,-74.03598,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865742336e-05,4.865742336e-05,4.865742336e-05,4.865742336e-05,4.865742336e-05,0.0,4.865742336e-05,4.865742336e-05,4.865742336e-05,4.865742336e-05,4.865742336e-05,4.865742336e-05,0.0,0.0,0.0,0.0,0.0,0.0
46,42,4.764458,-74.026985,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69690688e-05,5.69690688e-05,5.69690688e-05,5.69690688e-05,5.69690688e-05,0.0,5.69690688e-05,5.69690688e-05,5.69690688e-05,5.69690688e-05,5.69690688e-05,5.69690688e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,31,4.719643,-74.125923,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002915450496,0.0002915450496,0.0002915450496,0.0002915450496,0.0002915450496,0.0,0.0002915450496,0.0002915450496,0.0002915450496,0.0002915450496,0.0002915450496,0.0002915450496,0.0,0.0,0.0,0.0,0.0,0.0
41,35,4.719643,-74.089951,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000264722976,0.000264722976,0.000264722976,0.000264722976,0.000264722976,0.0,0.000264722976,0.000264722976,0.000264722976,0.000264722976,0.000264722976,0.000264722976,0.0,0.0,0.0,0.0,0.0,0.0
41,36,4.719643,-74.080956,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.139403904e-05,3.139403904e-05,3.139403904e-05,3.139403904e-05,3.139403904e-05,0.0,3.139403904e-05,3.139403904e-05,3.139403904e-05,3.139403904e-05,3.139403904e-05,3.139403904e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,37,4.719643,-74.07196,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.394604672e-05,7.394604672e-05,7.394604672e-05,7.394604672e-05,7.394604672e-05,0.0,7.394604672e-05,7.394604672e-05,7.394604672e-05,7.394604672e-05,7.394604672e-05,7.394604672e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,38,4.719643,-74.062965,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013113942912,0.00013113942912,0.00013113942912,0.00013113942912,0.00013113942912,0.0,0.00013113942912,0.00013113942912,0.00013113942912,0.00013113942912,0.00013113942912,0.00013113942912,0.0,0.0,0.0,0.0,0.0,0.0
41,39,4.719643,-74.05397,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.411275648e-05,7.411275648e-05,7.411275648e-05,7.411275648e-05,7.411275648e-05,0.0,7.411275648e-05,7.411275648e-05,7.411275648e-05,7.411275648e-05,7.411275648e-05,7.411275648e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,40,4.719643,-74.044975,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024262361088,0.00024262361088,0.00024262361088,0.00024262361088,0.00024262361088,0.0,0.00024262361088,0.00024262361088,0.00024262361088,0.00024262361088,0.00024262361088,0.00024262361088,0.0,0.0,0.0,0.0,0.0,0.0
36,29,4.67482,-74.143913,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93466368e-06,6.93466368e-06,6.93466368e-06,6.93466368e-06,6.93466368e-06,0.0,6.93466368e-06,6.93466368e-06,6.93466368e-06,6.93466368e-06,6.93466368e-06,6.93466368e-06,0.0,0.0,0.0,0.0,0.0,0.0
41,42,4.719643,-74.026985,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6450048e-05,6.6450048e-05,6.6450048e-05,6.6450048e-05,6.6450048e-05,0.0,6.6450048e-05,6.6450048e-05,6.6450048e-05,6.6450048e-05,6.6450048e-05,6.6450048e-05,0.0,0.0,0.0,0.0,0.0,0.0
36,31,4.67482,-74.125923,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.660272128e-05,5.660272128e-05,5.660272128e-05,5.660272128e-05,5.660272128e-05,0.0,5.660272128e-05,5.660272128e-05,5.660272128e-05,5.660272128e-05,5.660272128e-05,5.660272128e-05,0.0,0.0,0.0,0.0,0.0,0.0
36,32,4.67482,-74.116936,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000110535936,0.000110535936,0.000110535936,0.000110535936,0.000110535936,0.0,0.000110535936,0.000110535936,0.000110535936,0.000110535936,0.000110535936,0.000110535936,0.0,0.0,0.0,0.0,0.0,0.0
36,33,4.67482,-74.107941,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016855913088,0.00016855913088,0.00016855913088,0.00016855913088,0.00016855913088,0.0,0.00016855913088,0.00016855913088,0.00016855913088,0.00016855913088,0.00016855913088,0.00016855913088,0.0,0.0,0.0,0.0,0.0,0.0
36,34,4.67482,-74.098946,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142148352e-05,3.142148352e-05,3.142148352e-05,3.142148352e-05,3.142148352e-05,0.0,3.142148352e-05,3.142148352e-05,3.142148352e-05,3.142148352e-05,3.142148352e-05,3.142148352e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,24,4.629997,-74.188889,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129089536e-05,2.129089536e-05,2.129089536e-05,2.129089536e-05,2.129089536e-05,0.0,2.129089536e-05,2.129089536e-05,2.129089536e-05,2.129089536e-05,2.129089536e-05,2.129089536e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,25,4.629997,-74.179893,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0902016e-08,6.0902016e-08,6.0902016e-08,6.0902016e-08,6.0902016e-08,0.0,6.0902016e-08,6.0902016e-08,6.0902016e-08,6.0902016e-08,6.0902016e-08,6.0902016e-08,0.0,0.0,0.0,0.0,0.0,0.0
31,26,4.629997,-74.170898,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112563626112,0.000112563626112,0.000112563626112,0.000112563626112,0.000112563626112,0.0,0.000112563626112,0.000112563626112,0.000112563626112,0.000112563626112,0.000112563626112,0.000112563626112,0.0,0.0,0.0,0.0,0.0,0.0
36,39,4.67482,-74.05397,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00276373549402,0.00276373549402,0.00276373549402,0.00276373549402,0.00276373549402,0.0,0.00276373549402,0.00276373549402,0.00276373549402,0.00276373549402,0.00276373549402,0.00276373549402,0.0,0.0,0.0,0.0,0.0,0.0
36,40,4.67482,-74.044975,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010019885568,0.00010019885568,0.00010019885568,0.00010019885568,0.00010019885568,0.0,0.00010019885568,0.00010019885568,0.00010019885568,0.00010019885568,0.00010019885568,0.00010019885568,0.0,0.0,0.0,0.0,0.0,0.0
36,41,4.67482,-74.03598,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924608e-05,1.924608e-05,1.924608e-05,1.924608e-05,1.924608e-05,0.0,1.924608e-05,1.924608e-05,1.924608e-05,1.924608e-05,1.924608e-05,1.924608e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,31,4.629997,-74.125923,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1072e-05,5.1072e-05,5.1072e-05,5.1072e-05,5.1072e-05,0.0,5.1072e-05,5.1072e-05,5.1072e-05,5.1072e-05,5.1072e-05,5.1072e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PNH4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8516352e-05,3.8516352e-05,3.8516352e-05,3.8516352e-05,3.8516352e-05,0.0,3.8516352e-05,3.8516352e-05,3.8516352e-05,3.8516352e-05,3.8516352e-05,3.8516352e-05,0.0,0.0,0.0,0.0,0.0,0.0
